Date,Open,High,Low,Close,Adj Close,Volume
2022-11-30,14950.000000,15650.000000,14900.000000,15600.000000,15600.000000,494502
2022-12-01,15650.000000,15850.000000,15400.000000,15550.000000,15550.000000,319644
2022-12-02,15600.000000,16200.000000,15400.000000,15950.000000,15950.000000,392529
2022-12-05,16000.000000,16250.000000,15200.000000,15200.000000,15200.000000,245367
2022-12-06,15050.000000,16100.000000,14950.000000,15800.000000,15800.000000,252902
2022-12-07,15600.000000,15950.000000,15350.000000,15450.000000,15450.000000,180129
2022-12-08,15350.000000,15800.000000,15000.000000,15550.000000,15550.000000,185752
2022-12-09,15750.000000,15750.000000,14200.000000,14650.000000,14650.000000,596784
2022-12-12,14500.000000,14650.000000,14150.000000,14300.000000,14300.000000,209052
2022-12-13,14300.000000,14450.000000,13900.000000,14150.000000,14150.000000,177539
2022-12-14,14250.000000,14600.000000,14200.000000,14500.000000,14500.000000,140268
2022-12-15,14450.000000,14550.000000,14050.000000,14200.000000,14200.000000,130226
2022-12-16,13900.000000,14250.000000,13800.000000,14100.000000,14100.000000,109871
2022-12-19,14200.000000,14450.000000,14050.000000,14250.000000,14250.000000,94084
2022-12-20,14250.000000,14250.000000,13700.000000,13850.000000,13850.000000,128316
2022-12-21,13850.000000,14050.000000,13500.000000,13650.000000,13650.000000,102605
2022-12-22,13800.000000,13900.000000,13550.000000,13600.000000,13600.000000,80137
2022-12-23,13450.000000,13700.000000,13150.000000,13250.000000,13250.000000,110572
2022-12-26,13250.000000,13500.000000,12850.000000,12950.000000,12950.000000,210994
2022-12-27,12900.000000,13150.000000,12700.000000,13050.000000,13050.000000,112208
2022-12-28,12850.000000,13000.000000,11950.000000,12100.000000,12100.000000,427815
2022-12-29,12150.000000,12200.000000,11650.000000,11800.000000,11800.000000,207101
2023-01-02,11800.000000,12500.000000,11800.000000,12150.000000,12150.000000,282665
2023-01-03,12200.000000,12750.000000,12050.000000,12700.000000,12700.000000,247991
2023-01-04,12450.000000,13050.000000,12150.000000,13000.000000,13000.000000,238465
2023-01-05,13000.000000,13100.000000,12050.000000,12350.000000,12350.000000,215712
2023-01-06,12250.000000,12900.000000,12250.000000,12850.000000,12850.000000,127653
2023-01-09,13000.000000,13100.000000,12750.000000,12900.000000,12900.000000,96352
2023-01-10,13000.000000,13250.000000,12500.000000,12550.000000,12550.000000,182796
2023-01-11,12600.000000,12800.000000,12600.000000,12700.000000,12700.000000,97795
2023-01-12,12850.000000,13250.000000,12800.000000,13100.000000,13100.000000,185765
2023-01-13,13200.000000,13200.000000,12700.000000,12850.000000,12850.000000,159518
2023-01-16,12850.000000,13100.000000,12600.000000,12750.000000,12750.000000,162085
2023-01-17,12850.000000,13100.000000,12600.000000,12850.000000,12850.000000,138955
2023-01-18,13100.000000,13100.000000,12750.000000,12750.000000,12750.000000,89863
2023-01-19,12650.000000,13000.000000,12500.000000,12800.000000,12800.000000,105784
2023-01-20,12850.000000,12850.000000,12400.000000,12500.000000,12500.000000,157700
2023-01-25,12650.000000,13190.000000,12570.000000,13100.000000,13100.000000,614421
2023-01-26,13160.000000,13780.000000,13000.000000,13710.000000,13710.000000,276201
2023-01-27,13820.000000,13930.000000,13330.000000,13370.000000,13370.000000,149700
2023-01-30,13620.000000,13620.000000,13060.000000,13150.000000,13150.000000,209493
2023-01-31,13050.000000,13400.000000,13050.000000,13270.000000,13270.000000,117691
2023-02-01,13400.000000,13690.000000,13300.000000,13500.000000,13500.000000,277194
2023-02-02,13600.000000,13630.000000,13370.000000,13440.000000,13440.000000,143899
2023-02-03,13500.000000,13590.000000,13340.000000,13430.000000,13430.000000,125766
2023-02-06,13390.000000,13570.000000,13280.000000,13470.000000,13470.000000,128871
2023-02-07,13510.000000,14450.000000,13480.000000,13980.000000,13980.000000,503857
2023-02-08,14090.000000,14100.000000,13830.000000,13860.000000,13860.000000,196403
2023-02-09,13860.000000,14390.000000,13800.000000,14370.000000,14370.000000,285175
2023-02-10,14400.000000,14530.000000,13820.000000,13840.000000,13840.000000,307657
2023-02-13,13800.000000,13990.000000,13690.000000,13720.000000,13720.000000,137234
2023-02-14,13830.000000,13830.000000,13510.000000,13560.000000,13560.000000,124650
2023-02-15,13790.000000,13980.000000,13160.000000,13210.000000,13210.000000,237018
2023-02-16,13400.000000,13700.000000,13350.000000,13700.000000,13700.000000,113794
2023-02-17,13410.000000,13770.000000,13400.000000,13460.000000,13460.000000,92499
2023-02-20,13580.000000,14140.000000,13570.000000,13950.000000,13950.000000,274647
2023-02-21,14000.000000,14010.000000,13520.000000,13620.000000,13620.000000,254747
2023-02-22,13440.000000,13600.000000,13300.000000,13540.000000,13540.000000,113703
2023-02-23,13630.000000,13760.000000,13390.000000,13600.000000,13600.000000,138889
2023-02-24,13600.000000,14000.000000,13270.000000,13470.000000,13470.000000,162447
2023-02-27,13470.000000,13890.000000,13350.000000,13860.000000,13860.000000,147093
2023-02-28,13950.000000,14150.000000,13720.000000,13730.000000,13730.000000,268034
2023-03-02,14240.000000,16200.000000,14240.000000,15950.000000,15950.000000,3245297
2023-03-03,15800.000000,16100.000000,15200.000000,15460.000000,15460.000000,1180603
2023-03-06,15510.000000,15530.000000,14940.000000,15240.000000,15240.000000,582382
2023-03-07,15200.000000,15650.000000,14840.000000,15150.000000,15150.000000,941744
2023-03-08,14950.000000,15060.000000,14460.000000,14510.000000,14510.000000,406958
2023-03-09,14560.000000,14830.000000,14100.000000,14100.000000,14100.000000,441827
2023-03-10,13930.000000,14170.000000,13600.000000,13710.000000,13710.000000,390674
2023-03-13,13610.000000,13990.000000,13390.000000,13970.000000,13970.000000,291586
2023-03-14,13850.000000,13910.000000,13000.000000,13030.000000,13030.000000,342928
2023-03-15,13390.000000,13820.000000,13310.000000,13690.000000,13690.000000,278047
2023-03-16,13600.000000,14000.000000,13250.000000,13930.000000,13930.000000,251013
2023-03-17,14190.000000,14250.000000,13720.000000,14040.000000,14040.000000,248535
2023-03-20,14040.000000,14450.000000,13800.000000,14420.000000,14420.000000,262237
2023-03-21,14540.000000,14870.000000,14310.000000,14700.000000,14700.000000,427345
2023-03-22,14980.000000,15810.000000,14820.000000,15000.000000,15000.000000,1293182
2023-03-23,14900.000000,15800.000000,14850.000000,15380.000000,15380.000000,1127118
2023-03-24,15780.000000,15780.000000,14790.000000,15230.000000,15230.000000,606549
2023-03-27,15520.000000,16180.000000,15230.000000,15400.000000,15400.000000,1190175
2023-03-28,16040.000000,16490.000000,15520.000000,15810.000000,15810.000000,993362
2023-03-29,15780.000000,16250.000000,15410.000000,16060.000000,16060.000000,537946
2023-03-30,16210.000000,16250.000000,15500.000000,15680.000000,15680.000000,513866
2023-03-31,15500.000000,15670.000000,15150.000000,15470.000000,15470.000000,383194
2023-04-03,15600.000000,15650.000000,15190.000000,15500.000000,15500.000000,330455
2023-04-04,15420.000000,15420.000000,14800.000000,14850.000000,14850.000000,458408
2023-04-05,14870.000000,15230.000000,14750.000000,15180.000000,15180.000000,239454
